,Actual Location,Clouds(%),Country,Date,Humidity(%),Latitude,Longitude,Max_temp,Min_temp,Pressure(hpa),Returned Location,Temparature(in celcius),Time,Weather_Condition,Weather_Description,Wind_Speed(m/s)
41,Butterworth,75,MY,06/29/2018,83,5.3954,100.3749,26.0,26.0,1010,Butterworth,26.0,13:02:12,Rain,light rain,4.6
42,Lahad Datu,20,MY,06/29/2018,100,5.0216,118.3276,26.35,26.35,1000.24,Lahad Datu,26.35,13:02:13,Rain,moderate rain,1.66
43,Semenyih,75,MY,06/29/2018,94,2.9483,101.8427,28.0,26.0,1011,Semenyih,27.04,13:02:14,Rain,light rain,1.5
44,Port Dickson,75,MY,06/29/2018,94,2.5229,101.7945,26.0,25.0,1011,Port Dickson,25.45,13:02:15,Rain,light rain,1.5
45,Cukai,75,MY,06/29/2018,70,4.25,103.4167,30.0,28.0,1009,Cukai,28.91,13:02:16,Clouds,broken clouds,2.1
46,Putatan,75,MY,06/29/2018,66,5.8833,116.05,32.0,32.0,1009,Putatan,32.0,13:02:17,Clouds,broken clouds,1.5
47,Keningau,75,MY,06/29/2018,66,5.3288,116.1555,32.0,32.0,1009,Keningau,32.0,13:02:18,Clouds,broken clouds,1.5
48,Ulu Tiram,75,MY,06/29/2018,88,1.6051,103.8239,26.0,24.0,1011,Ulu Tiram,24.74,13:02:19,Rain,moderate rain,1.5
49,Victoria,75,MY,06/29/2018,79,5.2767,115.2417,32.0,30.0,1009,Victoria,31.16,13:02:20,Clouds,broken clouds,2.1
50,Taman Senai,75,MY,06/29/2018,88,1.6006,103.6419,26.0,24.0,1011,Taman Senai,24.73,13:02:20,Rain,moderate rain,1.5
51,Donggongon,75,MY,06/29/2018,66,5.907,116.1015,32.0,32.0,1009,Donggongon,32.0,13:02:21,Clouds,broken clouds,1.5
52,Segamat,75,MY,06/29/2018,94,2.5064,102.8151,25.0,25.0,1011,Segamat,25.0,13:02:23,Rain,light rain,2.21
53,Kampong Baharu Balakong,75,MY,06/29/2018,69,3.0333,101.75,28.0,26.0,1012,Kampong Baharu Balakong,26.98,13:02:23,Rain,light rain,3.6
54,Perai,75,MY,06/29/2018,83,5.3778,100.382,26.0,26.0,1010,Prai,26.0,13:02:24,Rain,light rain,4.6
55,Kangar,75,MY,06/29/2018,79,6.4389,100.1945,31.0,29.0,1010,Kangar,29.69,13:02:26,Clouds,broken clouds,5.1
56,Kulai,75,MY,06/29/2018,88,1.6569,103.6059,26.0,24.0,1011,Kulai,24.72,13:02:26,Rain,moderate rain,1.5
57,Jitra,75,MY,06/29/2018,79,6.2692,100.4168,29.0,29.0,1010,Jitra,29.0,13:02:27,Clouds,broken clouds,5.1
58,Teluk Intan,90,MY,06/29/2018,88,4.0232,101.0262,25.0,22.0,1011,Teluk Intan,23.4,13:02:28,Rain,heavy intensity rain,2.1
59,Semporna,75,MY,06/29/2018,70,4.48,118.6117,31.0,31.0,1009,Semporna,31.0,13:02:29,Clouds,broken clouds,4.1
60,Putra Heights,75,MY,06/29/2018,69,2.9957,101.5671,28.0,26.0,1012,Putra Heights,26.95,13:02:30,Rain,light rain,3.6
61,Temerluh,12,MY,06/29/2018,73,3.4506,102.4176,30.45,30.45,1009.97,Temerluh,30.45,13:02:31,Clouds,few clouds,1.41
62,Kampong Dungun,75,MY,06/29/2018,69,3.2167,101.3167,28.0,26.0,1012,Kampong Dungun,26.85,13:02:32,Rain,light rain,3.6
63,Simpang Empat,75,MY,06/29/2018,94,2.4362,102.1844,26.0,25.0,1011,Simpang Empat,25.57,13:02:33,Rain,light rain,4.71
